Role,Wikidata identifier,Wikidata label,Wikidata type,UM identifier,UM label,UM type
actrice,http://www.wikidata.org/entity/Q21169216,actrice,http://www.wikidata.org/entity/Q28640,,,
arrangeur,http://www.wikidata.org/entity/Q1643514,arrangeur,http://www.wikidata.org/entity/Q28640,,,
bandleider,http://www.wikidata.org/entity/Q806349,orkestleider,http://www.wikidata.org/entity/Q28640,,,
bewerker,http://www.wikidata.org/entity/Q1643514,arrangeur,http://www.wikidata.org/entity/Q28640,,,
camera,http://www.wikidata.org/entity/Q1208175,cameraman,http://www.wikidata.org/entity/Q28640,,,
choreografie,http://www.wikidata.org/entity/Q2490358,choreograaf,http://www.wikidata.org/entity/Q28640,,,
componist,http://www.wikidata.org/entity/Q36834,componist,http://www.wikidata.org/entity/Q28640,,,
concertmeester,http://www.wikidata.org/entity/Q691031,concertmeester,http://www.wikidata.org/entity/Q28640,,,
dirigent,http://www.wikidata.org/entity/Q158852,dirigent,http://www.wikidata.org/entity/Q28640,,,
dj,http://www.wikidata.org/entity/Q130857,diskjockey,http://www.wikidata.org/entity/Q28640,,,
geluid,http://www.wikidata.org/entity/Q128124,geluidsingenieur,http://www.wikidata.org/entity/Q28640,,,
geluidstechnicus,http://www.wikidata.org/entity/Q2442329,toontechnicus,http://www.wikidata.org/entity/Q28640,,,
instrumentalist,http://www.wikidata.org/entity/Q1278335,instrumentalist,http://www.wikidata.org/entity/Q28640,,,
interviewer,http://www.wikidata.org/entity/Q46034607,interviewer,http://www.wikidata.org/entity/Q28640,,,
koordirigent,http://www.wikidata.org/entity/Q1076502,koordirigent,http://www.wikidata.org/entity/Q28640,,,
montage,http://www.wikidata.org/entity/Q239298,montage,http://www.wikidata.org/entity/Q28640,,,
muziekproducer,http://www.wikidata.org/entity/Q183945,muziekproducent,http://www.wikidata.org/entity/Q28640,,,
muziekregie,http://www.wikidata.org/entity/Q986888,audiografisch directeur,http://www.wikidata.org/entity/Q28640,,,
muzikant,http://www.wikidata.org/entity/Q639669,muzikant,http://www.wikidata.org/entity/Q28640,,,
opdrachtgever,http://www.wikidata.org/entity/Q760086,opdrachtgever,http://www.wikidata.org/entity/Q28640,,,
poppenspeler,http://www.wikidata.org/entity/Q2629392,poppenspeler,http://www.wikidata.org/entity/Q28640,,,
presentatie,http://www.wikidata.org/entity/Q604733,presentatie,http://www.wikidata.org/entity/Q28640,,,
presentatrice,http://www.wikidata.org/entity/Q13590141,presentator,http://www.wikidata.org/entity/Q28640,,,
producent,http://www.wikidata.org/entity/Q183945,muziekproducent,http://www.wikidata.org/entity/Q28640,,,
producer,http://www.wikidata.org/entity/Q183945,muziekproducent,http://www.wikidata.org/entity/Q28640,,,
productie,http://www.wikidata.org/entity/Q183945,muziekproducent,http://www.wikidata.org/entity/Q28640,,,
programmamaker,http://www.wikidata.org/entity/Q2548714,programmamaker,http://www.wikidata.org/entity/Q28640,,,
programmamedewerker,http://www.wikidata.org/entity/Q703534,werknemer,http://www.wikidata.org/entity/Q28640,,,
programmatechnicus,http://www.wikidata.org/entity/Q2442329,toontechnicus,http://www.wikidata.org/entity/Q28640,,,
redactie,http://www.wikidata.org/entity/Q876864,redacteur,http://www.wikidata.org/entity/Q28640,,,
regie,http://www.wikidata.org/entity/Q3455803,regisseur,http://www.wikidata.org/entity/Q28640,,,
regisseur,http://www.wikidata.org/entity/Q3455803,regisseur,http://www.wikidata.org/entity/Q28640,,,
tekstbewerker,http://www.wikidata.org/entity/Q1607826,tekstbewerker,http://www.wikidata.org/entity/Q28640,,,
vertaler,http://www.wikidata.org/entity/Q333634,vertaler,http://www.wikidata.org/entity/Q28640,,,
tekstschrijver,http://www.wikidata.org/entity/Q14466416,tekstschrijver,http://www.wikidata.org/entity/Q28640,,,
uitvoerende,http://www.wikidata.org/entity/Q713200,uitvoerend kunstenaar,http://www.wikidata.org/entity/Q28640,,,
verslaggever,http://www.wikidata.org/entity/Q42909,verslaggever,http://www.wikidata.org/entity/Q28640,,,
alt,http://www.wikidata.org/entity/Q6983813,alt,http://www.wikidata.org/entity/Q1063547,https://data.muziekschatten.nl/som/um55,Alt,https://data.muziekschatten.nl/som/Stem
bariton,http://www.wikidata.org/entity/Q31687,bariton,http://www.wikidata.org/entity/Q1063547,https://data.muziekschatten.nl/som/um206,Bariton,https://data.muziekschatten.nl/som/Stem
bas,http://www.wikidata.org/entity/Q27911,bas,http://www.wikidata.org/entity/Q1063547,https://data.muziekschatten.nl/som/um231,Bas,https://data.muziekschatten.nl/som/Stem
bas-bariton,http://www.wikidata.org/entity/Q810480,bass-bariton,http://www.wikidata.org/entity/Q1063547,,,
